file;date;ich;du;wir;ihr;ichWir;duIhr;meinPoss;deinPoss;unserPoss;euerPoss;ihrPOSS;meinUnserPoss;deinEuerPoss;wirUnserPoss;1tePerson;2tePerson
felgenhauer_jehior_1640.xml;1640;514.52;477.77;4961.41;147.0;5475.93;624.77;183.76;36.75;1102.54;.0;2976.85;1286.29;36.75;6063.95;6762.22;661.52
hecht_andachten_1668.xml;1668;28135.05;15943.19;4957.13;2344.59;33092.18;18287.78;12593.78;9847.27;2813.5;535.91;3014.47;15407.29;10383.17;7770.63;48499.46;28670.95
luettkemann_harpffe_1674.xml;1674;12746.89;9604.17;10750.63;2363.33;23497.53;11967.5;5958.61;4797.06;3248.32;422.38;3595.28;9206.93;5219.44;13998.95;32704.45;17186.93
santa_judas01_1686.xml;1686;6376.88;4928.97;1352.54;2475.32;7729.42;7404.29;2059.16;1079.43;650.26;515.87;3671.8;2709.42;1595.3;2002.8;10438.84;8999.6
schottel_hoelle_1676.xml;1676;1426.27;4032.47;2100.51;816.87;3526.79;4849.33;518.65;1659.66;1970.85;259.32;2074.58;2489.5;1918.99;4071.37;6016.29;6768.32
scriver_schaefflein_1672.xml;1672;7230.77;2720.63;3389.88;2720.63;10620.65;5441.27;2196.87;1542.18;2138.68;1222.1;2938.87;4335.55;2764.28;5528.56;14956.21;8205.55
spener_friede_1686.xml;1686;2411.14;797.23;19814.11;2080.58;22225.25;2877.81;1225.01;447.23;6397.29;505.56;3577.82;7622.31;952.79;26211.4;29847.55;3830.6
