file;date;ich;du;wir;ihr;ichWir;duIhr;meinPoss;deinPoss;unserPoss;euerPoss;ihrPOSS;meinUnserPoss;deinEuerPoss;wirUnserPoss;1tePerson;2tePerson
baumann_gebetbuch_1676.xml;1676;1568.36;25093.82;36464.46;560.13;38032.82;25653.95;784.18;25709.96;19436.51;448.1;1624.38;20220.69;26158.07;55900.97;58253.51;51812.02
deucer_gebetbuch_1665.xml;1665;26970.77;19216.92;8868.59;2268.94;35839.36;21485.86;14669.18;16050.27;5563.83;818.79;1765.83;20233.01;16869.06;14432.42;56072.37;38354.92
habermann_gebete_1659.xml;1659;26162.06;21831.09;11582.82;478.42;37744.88;22309.51;12841.82;20597.27;5816.59;.0;3852.55;18658.41;20597.27;17399.41;56403.28;42906.78
lohner_geistliche04_1684.xml;1684;32968.14;26957.48;4402.45;2442.46;37370.59;29399.94;14875.87;16755.45;2663.58;663.38;2563.07;17539.45;17418.84;7066.04;54910.04;46818.78
schwendendoerffer_andaechtige_1637.xml;1637;57344.51;24670.74;1858.97;598.65;59203.48;25269.39;31444.96;19755.5;1165.79;94.52;1134.29;32610.75;19850.02;3024.77;91814.23;45119.42
zesen_gebetbuch_1660.xml;1660;31343.87;21723.04;8024.61;1393.06;39368.48;23116.1;18994.96;20968.47;4034.07;551.42;2379.81;23029.04;21519.89;12058.68;62397.52;44635.99
